product_id,main_camera_mp (MP),wide_camera_mp (MP),tele_camera_mp (MP),macro_camera_mp (MP),wide_camera_aperture (f/),tele_camera_aperture (f/),macro_camera_aperture (f/)
50350,8.0,5.0,2.0,2.0,1.0,1.0,1.75
78048,8.0,5.0,2.0,2.0,1.0,1.0,1.75
89100,8.0,5.0,2.0,2.0,1.0,1.0,1.75
88631,8.0,5.0,2.0,2.0,1.0,1.0,1.75
25864,8.0,5.0,2.0,2.0,1.0,1.0,1.75
33485,8.0,12.0,12.0,2.0,1.5,1.8,1.75
44930,200.0,5.0,10.0,2.0,1.0,1.0,1.75
62296,8.0,5.0,2.0,2.0,1.0,1.0,1.75
46352,8.0,12.0,2.0,5.0,1.0,1.0,1.75
69512,8.0,5.0,2.0,2.0,1.0,1.0,1.75
36499,8.0,12.0,12.0,2.0,1.5,1.8,1.75
27451,8.0,5.0,2.0,2.0,1.0,1.0,1.75
32364,8.0,5.0,2.0,2.0,2.2,1.0,1.75
67556,8.0,5.0,2.0,2.0,1.0,1.0,1.75
44342,8.0,5.0,2.0,2.0,1.0,1.0,1.75
39188,8.0,5.0,2.0,2.0,1.0,1.0,1.75
51997,8.0,5.0,2.0,2.0,1.0,1.0,1.75
36243,8.0,12.0,2.0,2.0,1.6,1.0,1.75
51999,8.0,5.0,2.0,2.0,1.0,1.0,1.75
88715,8.0,5.0,2.0,2.0,1.0,1.0,1.75
39411,8.0,5.0,2.0,2.0,1.0,1.0,1.75
55754,8.0,5.0,2.0,2.0,1.0,1.0,1.75
68862,48.0,5.0,2.0,2.0,1.0,2.2,1.75
65313,8.0,50.0,2.0,2.0,1.0,1.0,1.75
35033,8.0,8.0,2.0,2.0,1.75,1.0,1.75
49745,50.0,12.0,10.0,2.0,1.0,1.0,1.75
65638,50.0,8.0,2.0,2.0,1.8,1.0,1.75
71941,12.0,5.0,2.0,2.0,1.0,1.0,1.75
42019,8.0,5.0,2.0,2.0,1.0,1.0,1.75
52306,12.0,12.0,2.0,2.0,1.5,1.0,1.75
30746,8.0,5.0,2.0,2.0,1.0,1.0,1.75
38610,50.0,12.0,10.0,2.0,1.8,2.2,1.75
61511,108.0,8.0,2.0,2.0,1.0,1.0,1.75
60676,8.0,50.0,2.0,2.0,1.0,1.0,1.75
32667,8.0,5.0,2.0,2.0,1.8,1.0,1.75
26230,8.0,5.0,2.0,2.0,1.0,1.8,1.75
36492,8.0,12.0,12.0,2.0,1.5,1.8,1.75
49381,8.0,5.0,2.0,2.0,1.0,1.0,1.75
49746,8.0,5.0,2.0,2.0,1.0,1.0,1.75
41145,108.0,8.0,2.0,2.0,1.9,1.0,2.2
33630,8.0,5.0,2.0,2.0,1.0,1.0,2.4
35034,8.0,5.0,2.0,2.0,1.75,1.0,1.75
49793,8.0,50.0,50.0,2.0,1.0,1.0,1.75
62238,8.0,8.0,2.0,2.0,1.0,1.0,1.75
25217,8.0,5.0,2.0,2.0,1.0,1.0,1.75
41493,8.0,5.0,2.0,2.0,1.0,1.0,1.75
27478,8.0,5.0,2.0,2.0,1.0,1.0,1.75
44533,8.0,64.0,2.0,2.0,1.0,1.0,1.75
68867,48.0,5.0,2.0,2.0,1.0,2.2,1.75
57237,8.0,50.0,2.0,2.0,1.0,1.0,1.75
42898,8.0,5.0,2.0,2.0,1.0,1.0,1.75
32366,8.0,5.0,2.0,2.0,1.8,2.2,1.75
65918,8.0,5.0,2.0,2.0,1.0,1.0,1.75
75775,8.0,5.0,2.0,2.0,1.0,1.0,1.75
33640,8.0,5.0,2.0,2.0,1.0,1.0,1.75
33644,8.0,5.0,2.0,2.0,1.0,1.0,1.75
42339,8.0,5.0,2.0,2.0,1.0,1.0,1.75
50348,8.0,5.0,2.0,2.0,1.9,1.0,1.75
51995,8.0,5.0,2.0,2.0,1.0,1.0,1.75
61666,8.0,5.0,2.0,2.0,1.0,1.0,1.75
73396,8.0,5.0,2.0,2.0,1.0,1.0,1.75
39407,8.0,5.0,2.0,2.0,1.0,1.0,1.75
35920,8.0,5.0,2.0,2.0,1.0,1.0,1.75
57320,8.0,5.0,2.0,2.0,1.0,1.0,1.75
57372,8.0,5.0,2.0,2.0,1.0,1.0,1.75
84464,8.0,8.0,2.0,2.0,1.0,1.0,1.75
82067,8.0,5.0,2.0,2.0,1.0,1.0,1.75
90941,8.0,5.0,2.0,2.0,1.0,1.0,1.75
64264,8.0,8.0,2.0,2.0,1.0,1.0,1.75
81359,8.0,50.0,2.0,2.0,1.4,1.0,1.75
77855,8.0,5.0,2.0,2.0,1.0,1.0,1.75
70735,8.0,5.0,2.0,2.0,1.0,1.0,1.75
60343,108.0,5.0,2.0,2.0,1.0,1.0,1.75
75778,8.0,5.0,2.0,2.0,1.0,1.0,1.75
71547,8.0,5.0,2.0,2.0,1.0,1.0,1.75
64834,8.0,5.0,2.0,2.0,2.0,1.0,1.75
59296,8.0,13.0,2.0,2.0,1.0,1.0,1.75
55071,8.0,5.0,48.0,2.0,1.0,1.0,1.75
85458,8.0,50.0,2.0,2.0,1.0,1.0,1.75
56074,8.0,5.0,2.0,2.0,1.0,1.0,1.75
74388,8.0,5.0,2.0,2.0,1.0,1.0,1.75
42972,8.0,5.0,10.0,2.0,1.8,2.2,1.75
57708,8.0,5.0,2.0,2.0,1.0,1.0,1.75
