product_id,camera_video
36486,4K 2160p@30fpsFullHD 1080p@30fpsFullHD 1080p@60fpsHD 720p@30fps
84612,"UHD 8K (7680 x 4320)@30fps240fps @FHD, 120fps @FHD, 120fps @UHD"
65638,"1080p@30fps, 720p@30fps"
90120,Quay video 4K Dolby Vision ở tốc độ 24 fpsQuay video 1080p Dolby VisionQuay video 720p Dolby Vision
63068,1080p@30fpsHD 720p@30fps
33626,1080p 1920x1080 | 30fps720p 1280x720 | 30fps
78197,1080p@30fps
90306,N/A
88459,"1080p@30fps, 720p@30fps, 480p@30fps"
56698,N/A
84614,"UHD 4K (3840 x 2160)@60fps240fps @FHD, 120fps @FHD"
79220,"4K@30fps, 1080p@30fps"
64928,"1440p@30fps, 1080p@30fps"
51797,1080p@30fps
42153,"4K@30/60fps, 1080p@30/60fps, gyro-EIS"
58855,HD 720p@120fpsFullHD 1080p@30fpsHD 720p@30fps
90677,N/A
90112,N/A
66832,N/A
60927,1080p@30fps
55753,1080p@30fps
86448,1080p@30fps
50676,"FullHD 1080p@24fps, FullHD 1080p@30fps, FullHD 1080p@60fps, HD 720p@24fps, HD 720p@30fps, HD 720p@60fps"
90114,"4K@24 fps, 4K@25 fps, 4K@30 fps, 4K@60 fps1080p@25fps, 1080p@30 fps, hoặc 1080p@60 fps"
25863,"Trước: 4K@24/30/60fps, 1080p@30/60/120fps, gyro-EISSau: 4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps), stereo sound rec."
59593,N/A
54152,1080p@30fps
68168,N/A
62088,1080p@30fps
79064,1080p@30fps
17018,"4K@30fps, 1080p@30/60/120fps, gyro-EIS"
83931,HD 720p@30fpsFullHD 1080p@30fps
59736,HD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fps4K 2160p@30fpsFullHD 1080p@240fpsHD 720p@60fpsHD 720p@480fps
41145,1080p 1920x1080 | 30fps720p 1280x720 | 30fps
49374,1080p@30fps720p@30fps
